,Clear_day_cov,Clear_night_cov,Day_view_angle,Day_view_time,Emis_31,Emis_32,LST_Day_1km,LST_Night_1km,Night_view_angle,Night_view_time,QC_Day,QC_Night
6143,2731.785714285714,2454.769230769231,74.21428571428571,109.71428571428571,246.35714285714286,248.0,15747.92857142857,14943.384615384615,71.07692307692308,221.15384615384616,4.3125,17.75
6144,2565.4615384615386,2517.153846153846,75.92307692307692,109.6923076923077,246.0,247.92857142857142,15563.076923076924,14949.461538461539,70.6923076923077,221.15384615384616,4.4375,33.5
6145,2549.285714285714,2513.846153846154,73.42857142857143,109.5,246.0,247.64285714285714,15556.785714285714,14948.307692307691,70.6923076923077,221.15384615384616,8.375,27.2
6146,2568.214285714286,2454.153846153846,73.5,109.5,246.0,247.71428571428572,15599.142857142857,14938.23076923077,70.76923076923077,221.15384615384616,12.4375,27.2
6147,2558.0,2594.3333333333335,73.57142857142857,109.57142857142857,246.0,247.92857142857142,15620.857142857143,14915.166666666666,75.58333333333333,221.66666666666666,12.4375,14.6
6148,2507.1428571428573,2556.5833333333335,73.64285714285714,109.57142857142857,246.07142857142858,247.92857142857142,15632.642857142857,14902.5,75.58333333333333,221.66666666666666,12.4375,2.0
6149,2448.0714285714284,2519.3333333333335,73.71428571428571,109.57142857142857,246.21428571428572,248.0,15666.5,14889.5,75.66666666666667,221.66666666666666,12.4375,2.0
6150,2428.285714285714,2501.25,73.78571428571429,109.57142857142857,246.28571428571428,248.0,15686.92857142857,14895.25,75.75,221.66666666666666,8.375,2.0
6151,2428.0,2492.5833333333335,73.78571428571429,109.57142857142857,246.28571428571428,248.0,15700.142857142857,14916.166666666666,75.83333333333333,221.66666666666666,8.375,2.0
6152,2424.5,2336.076923076923,73.85714285714286,109.64285714285714,246.35714285714286,248.0,15685.285714285714,14940.846153846154,71.07692307692308,221.15384615384616,8.375,17.75
6153,2475.4285714285716,2497.5833333333335,74.07142857142857,109.71428571428571,246.28571428571428,248.0,15661.714285714286,14918.416666666666,75.83333333333333,221.66666666666666,8.375,2.0
6154,2508.714285714286,2379.0,74.21428571428571,109.71428571428571,246.35714285714286,248.0,15687.357142857143,14935.538461538461,71.07692307692308,221.15384615384616,8.375,17.75
6155,2451.3846153846152,2445.3076923076924,75.92307692307692,109.6923076923077,246.0,247.64285714285714,15585.076923076924,14941.538461538461,70.6923076923077,221.15384615384616,4.4375,33.5
6156,2467.6428571428573,2498.1666666666665,73.5,109.5,246.0,247.64285714285714,15579.642857142857,14917.916666666666,75.41666666666667,221.66666666666666,4.3125,14.6
6157,2569.5,2497.6666666666665,73.57142857142857,109.5,246.0,247.78571428571428,15630.785714285714,14909.25,75.41666666666667,221.66666666666666,8.375,14.6
6158,2567.6428571428573,2348.3846153846152,73.57142857142857,109.57142857142857,246.0,247.92857142857142,15649.642857142857,14926.23076923077,70.84615384615384,221.15384615384616,8.375,27.2
6159,2569.9285714285716,2407.846153846154,73.71428571428571,109.57142857142857,246.07142857142858,247.85714285714286,15653.57142857143,14914.615384615385,70.84615384615384,221.15384615384616,8.375,17.75
6160,2570.4285714285716,2430.0,73.71428571428571,109.57142857142857,246.0,248.0,15686.285714285714,14903.692307692309,70.92307692307692,221.15384615384616,8.375,17.75
6161,2568.785714285714,2498.8333333333335,73.78571428571429,109.57142857142857,246.07142857142858,248.0,15691.07142857143,14888.916666666666,75.75,221.66666666666666,8.375,2.0
6162,2570.8571428571427,2323.4615384615386,73.78571428571429,109.57142857142857,246.07142857142858,248.0,15692.57142857143,14929.923076923076,71.0,221.15384615384616,8.375,17.75
6163,2447.214285714286,2368.6153846153848,73.85714285714286,109.64285714285714,246.14285714285714,247.85714285714286,15678.357142857143,14935.153846153846,71.07692307692308,221.15384615384616,8.375,17.75
6164,2432.4285714285716,2402.923076923077,74.07142857142857,109.71428571428571,246.28571428571428,247.92857142857142,15655.92857142857,14925.76923076923,71.07692307692308,221.15384615384616,4.3125,17.75
6165,2456.8571428571427,2452.5384615384614,74.21428571428571,109.71428571428571,246.28571428571428,248.0,15645.357142857143,14922.0,71.07692307692308,221.15384615384616,4.3125,17.75
6166,2486.076923076923,2455.230769230769,76.0,109.6923076923077,246.0,247.78571428571428,15639.923076923076,14916.307692307691,70.6923076923077,221.15384615384616,4.4375,33.5
6167,2505.0,2314.3076923076924,73.5,109.42857142857143,246.0,247.85714285714286,15610.42857142857,14912.923076923076,70.6923076923077,221.15384615384616,4.3125,27.2
6168,2633.5,2490.9166666666665,73.57142857142857,109.5,246.0,247.71428571428572,15641.07142857143,14894.25,75.41666666666667,221.66666666666666,4.3125,14.6
6169,2688.5,2370.4615384615386,73.57142857142857,109.5,246.0,247.92857142857142,15651.0,14916.692307692309,70.84615384615384,221.15384615384616,4.3125,27.2
6170,2707.714285714286,2482.0,73.71428571428571,109.5,246.0,247.71428571428572,15658.285714285714,14910.307692307691,70.84615384615384,221.15384615384616,4.3125,27.2
6171,2681.5,2477.076923076923,73.71428571428571,109.57142857142857,246.0,247.85714285714286,15693.07142857143,14889.076923076924,70.92307692307692,221.15384615384616,8.375,17.75
6172,2662.5714285714284,2454.6153846153848,73.78571428571429,109.57142857142857,246.0,247.71428571428572,15716.57142857143,14892.0,70.92307692307692,221.15384615384616,8.375,17.75
6173,2644.214285714286,2636.769230769231,73.78571428571429,109.57142857142857,246.0,247.78571428571428,15707.42857142857,14904.076923076924,71.0,221.15384615384616,8.375,17.75
6174,2499.0,2659.5384615384614,73.85714285714286,109.64285714285714,246.0,247.78571428571428,15694.357142857143,14917.153846153846,71.07692307692308,221.15384615384616,4.3125,17.75
6175,2500.1428571428573,2571.0,74.07142857142857,109.71428571428571,246.14285714285714,248.0,15650.357142857143,14923.538461538461,71.07692307692308,221.15384615384616,4.3125,17.75
6176,2612.4285714285716,2619.923076923077,74.14285714285714,109.71428571428571,246.21428571428572,248.0,15630.57142857143,14929.384615384615,71.07692307692308,221.15384615384616,4.3125,17.75
6177,2681.0,2563.6153846153848,76.0,109.6923076923077,246.0,247.71428571428572,15734.76923076923,14891.846153846154,70.6923076923077,221.15384615384616,4.4375,33.5
6178,2556.0714285714284,2538.5384615384614,73.57142857142857,109.42857142857143,246.0,247.78571428571428,15672.142857142857,14882.384615384615,70.6923076923077,221.15384615384616,8.375,17.75
6179,2473.5333333333333,2575.153846153846,69.66666666666667,109.06666666666666,246.0,247.73333333333332,15635.8,14886.076923076924,70.6923076923077,221.15384615384616,8.25,27.2
