,date,longitude,latitude,Province,Town,night/day,land/water,MaxFRP,fire
103,2021-08-08,7.96232711530745,36.25416666342179,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
104,2021-08-08,7.972661089499822,36.25416666342179,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
105,2021-08-08,7.982995063692237,36.25416666342179,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
106,2021-08-08,7.961478025933296,36.245833330089205,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
107,2021-08-08,7.971810898127778,36.245833330089205,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
108,2021-08-08,7.9821437703223035,36.245833330089205,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
109,2021-08-09,7.963176554282108,36.26249999675439,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
110,2021-08-09,7.973511630926103,36.26249999675439,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
111,2021-08-09,7.98384670757014,36.26249999675439,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
112,2021-08-09,7.96232711530745,36.25416666342179,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
113,2021-08-09,7.972661089499822,36.25416666342179,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
114,2021-08-09,7.982995063692237,36.25416666342179,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
115,2021-08-09,7.961478025933296,36.245833330089205,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
116,2021-08-09,7.971810898127778,36.245833330089205,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
117,2021-08-09,7.9821437703223035,36.245833330089205,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
118,2021-08-10,7.96317655428211,36.26249999675439,Souk Ahras,Souk Ahras,0.0,2.0,0.0,0
119,2021-08-10,7.973511630926104,36.26249999675439,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
120,2021-08-10,7.98384670757014,36.26249999675439,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
121,2021-08-10,7.96232711530745,36.25416666342179,Souk Ahras,Souk Ahras,0.0,2.0,89.0,1
122,2021-08-10,7.972661089499822,36.25416666342179,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
123,2021-08-10,7.982995063692237,36.25416666342179,Souk Ahras,Souk Ahras,0.0,2.0,111.0,1
124,2021-08-10,7.961478025933296,36.245833330089205,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
125,2021-08-10,7.971810898127778,36.245833330089205,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
126,2021-08-10,7.9821437703223035,36.245833330089205,Souk Ahras,Souk Ahras,0.0,2.0,111.0,1
127,2021-08-11,7.963176554282108,36.26249999675439,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
128,2021-08-11,7.973511630926103,36.26249999675439,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
129,2021-08-11,7.98384670757014,36.26249999675439,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
130,2021-08-11,7.96232711530745,36.25416666342179,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
131,2021-08-11,7.972661089499822,36.25416666342179,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
132,2021-08-11,7.982995063692237,36.25416666342179,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
133,2021-08-11,7.961478025933296,36.245833330089205,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
134,2021-08-11,7.971810898127778,36.245833330089205,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
135,2021-08-11,7.9821437703223035,36.245833330089205,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
136,2021-08-10,7.963176554282108,36.26249999675439,0,0,0.0,0.0,89.0,1
137,2021-08-08,3.261552385598021,36.52916666339719,Blida,Ain Roumana,1.0,2.0,0.0,0
138,2021-08-08,3.2719229814184465,36.52916666339719,Blida,Ain Roumana,1.0,2.0,0.0,0
139,2021-08-08,3.282293577238914,36.52916666339719,Blida,Ain Roumana,1.0,2.0,0.0,0
140,2021-08-08,3.2926641730593396,36.52916666339719,Blida,Ain Roumana,1.0,2.0,0.0,0
141,2021-08-08,3.3030347688798063,36.52916666339719,Blida,Ain Roumana,1.0,2.0,0.0,0
142,2021-08-08,3.313405364700232,36.52916666339719,Blida,Ain Roumana,1.0,2.0,0.0,0
143,2021-08-08,3.3237759605206993,36.52916666339719,Blida,Ain Roumana,1.0,2.0,0.0,0
144,2021-08-08,3.334146556341125,36.52916666339719,Blida,Ain Roumana,1.0,2.0,0.0,0
145,2021-08-08,3.261201066125508,36.520833330064605,Blida,Ain Roumana,1.0,2.0,0.0,0
146,2021-08-08,3.271570544872889,36.520833330064605,Blida,Ain Roumana,1.0,2.0,0.0,0
147,2021-08-08,3.281940023620312,36.520833330064605,Blida,Ain Roumana,1.0,2.0,0.0,0
148,2021-08-08,3.2923095023676927,36.520833330064605,Blida,Ain Roumana,1.0,2.0,0.0,0
149,2021-08-08,3.302678981115115,36.520833330064605,Blida,Ain Roumana,1.0,2.0,0.0,0
150,2021-08-08,3.3130484598624963,36.520833330064605,Blida,Ain Roumana,1.0,2.0,0.0,0
151,2021-08-08,3.3234179386099196,36.520833330064605,Blida,Ain Roumana,1.0,2.0,0.0,0
152,2021-08-08,3.3337874173573003,36.520833330064605,Blida,Ain Roumana,1.0,2.0,0.0,0
153,2021-08-08,3.260849891302438,36.512499996732004,Blida,Ain Roumana,1.0,2.0,0.0,0
154,2021-08-08,3.271218253436709,36.512499996732004,Blida,Ain Roumana,1.0,2.0,0.0,0
155,2021-08-08,3.2815866155710225,36.512499996732004,Blida,Ain Roumana,1.0,2.0,0.0,0
156,2021-08-08,3.2919549777052937,36.512499996732004,Blida,Ain Roumana,1.0,2.0,0.0,0
157,2021-08-08,3.302323339839606,36.512499996732004,Blida,Ain Roumana,1.0,2.0,0.0,0
158,2021-08-08,3.312691701973877,36.512499996732004,Blida,Ain Roumana,1.0,2.0,0.0,0
159,2021-08-08,3.32306006410819,36.512499996732004,Blida,Ain Roumana,1.0,2.0,0.0,0
160,2021-08-08,3.3334284262424614,36.512499996732004,Blida,Ain Roumana,1.0,2.0,0.0,0
161,2021-08-08,3.2604988610672327,36.50416666339942,Blida,Ain Roumana,1.0,2.0,0.0,0
162,2021-08-08,3.270866107048133,36.50416666339942,Blida,Ain Roumana,1.0,2.0,0.0,0
163,2021-08-08,3.281233353029075,36.50416666339942,Blida,Ain Roumana,1.0,2.0,0.0,0
164,2021-08-08,3.2916005990099753,36.50416666339942,Blida,Ain Roumana,1.0,2.0,0.0,0
165,2021-08-08,3.3019678449909167,36.50416666339942,Blida,Ain Roumana,1.0,2.0,0.0,0
166,2021-08-08,3.3123350909718168,36.50416666339942,Blida,Ain Roumana,1.0,2.0,0.0,0
167,2021-08-08,3.322702336952759,36.50416666339942,Blida,Ain Roumana,1.0,2.0,0.0,0
168,2021-08-08,3.3330695829336587,36.50416666339942,Blida,Ain Roumana,1.0,2.0,0.0,0
169,2021-08-08,3.260147975358353,36.49583333006683,Blida,Ain Roumana,1.0,2.0,0.0,0
170,2021-08-08,3.270514105645425,36.49583333006683,Blida,Ain Roumana,1.0,2.0,0.0,0
171,2021-08-08,3.2808802359325395,36.49583333006683,Blida,Ain Roumana,1.0,2.0,0.0,0
172,2021-08-08,3.2912463662196116,36.49583333006683,Blida,Ain Roumana,1.0,2.0,0.0,0
173,2021-08-08,3.3016124965067255,36.49583333006683,Blida,Ain Roumana,1.0,2.0,0.0,0
174,2021-08-08,3.3119786267937976,36.49583333006683,Blida,Ain Roumana,1.0,2.0,0.0,0
175,2021-08-08,3.3223447570809115,36.49583333006683,Blida,Ain Roumana,1.0,2.0,0.0,0
176,2021-08-08,3.3327108873679836,36.49583333006683,Blida,Ain Roumana,1.0,2.0,0.0,0
177,2021-08-08,3.2597972341143007,36.48749999673424,Blida,Ain Roumana,1.0,2.0,0.0,0
178,2021-08-08,3.2701622491668925,36.48749999673424,Blida,Ain Roumana,1.0,2.0,0.0,0
179,2021-08-08,3.280527264219527,36.48749999673424,Blida,Ain Roumana,1.0,2.0,0.0,0
180,2021-08-08,3.2908922792721187,36.48749999673424,Blida,Ain Roumana,1.0,2.0,0.0,0
181,2021-08-08,3.301257294324752,36.48749999673424,Blida,Ain Roumana,1.0,2.0,0.0,0
182,2021-08-08,3.3116223093773436,36.48749999673424,Blida,Ain Roumana,1.0,2.0,0.0,0
183,2021-08-08,3.3219873244299776,36.48749999673424,Blida,Ain Roumana,1.0,2.0,0.0,0
184,2021-08-08,3.3323523394825694,36.48749999673424,Blida,Ain Roumana,1.0,2.0,0.0,0
185,2021-08-08,3.2594466372736184,36.479166663401664,Blida,Ain Roumana,1.0,2.0,0.0,0
186,2021-08-08,3.269810537550882,36.479166663401664,Blida,Ain Roumana,1.0,2.0,0.0,0
187,2021-08-08,3.2801744378281876,36.479166663401664,Blida,Ain Roumana,1.0,2.0,0.0,0
188,2021-08-08,3.2905383381054514,36.479166663401664,Blida,Ain Roumana,1.0,2.0,0.0,0
189,2021-08-08,3.300902238382757,36.479166663401664,Blida,Ain Roumana,1.0,2.0,0.0,0
190,2021-08-08,3.311266138660021,36.479166663401664,Blida,Ain Roumana,1.0,2.0,0.0,0
191,2021-08-08,3.3216300389373266,36.479166663401664,Blida,Ain Roumana,1.0,2.0,0.0,0
192,2021-08-08,3.3319939392145903,36.479166663401664,Blida,Ain Roumana,1.0,2.0,0.0,0
193,2021-08-08,3.259096184774886,36.47083333006908,Blida,Ain Roumana,1.0,2.0,0.0,0
194,2021-08-08,3.2694589707357786,36.47083333006908,Blida,Ain Roumana,1.0,2.0,0.0,0
195,2021-08-08,3.2798217566967134,36.47083333006908,Blida,Ain Roumana,1.0,2.0,0.0,0
196,2021-08-08,3.2901845426576064,36.47083333006908,Blida,Ain Roumana,1.0,2.0,0.0,0
197,2021-08-08,3.3005473286185403,36.47083333006908,Blida,Ain Roumana,1.0,2.0,0.0,0
198,2021-08-08,3.310910114579433,36.47083333006908,Blida,Ain Roumana,1.0,2.0,0.0,0
199,2021-08-08,3.3212729005403676,36.47083333006908,Blida,Ain Roumana,0.0,2.0,0.0,0
200,2021-08-08,3.33163568650126,36.47083333006908,Blida,Ain Roumana,0.0,2.0,0.0,0
201,2021-08-09,3.261552385598021,36.52916666339719,Blida,Ain Roumana,1.0,2.0,0.0,0
202,2021-08-09,3.2719229814184465,36.52916666339719,Blida,Ain Roumana,1.0,2.0,0.0,0
203,2021-08-09,3.282293577238914,36.52916666339719,Blida,Ain Roumana,1.0,2.0,0.0,0
204,2021-08-09,3.2926641730593396,36.52916666339719,Blida,Ain Roumana,1.0,2.0,0.0,0
205,2021-08-09,3.3030347688798063,36.52916666339719,Blida,Ain Roumana,1.0,2.0,0.0,0
206,2021-08-09,3.313405364700232,36.52916666339719,Blida,Ain Roumana,1.0,2.0,0.0,0
207,2021-08-09,3.3237759605206993,36.52916666339719,Blida,Ain Roumana,1.0,2.0,0.0,0
208,2021-08-09,3.334146556341125,36.52916666339719,Blida,Ain Roumana,1.0,2.0,0.0,0
209,2021-08-09,3.261201066125508,36.520833330064605,Blida,Ain Roumana,1.0,2.0,0.0,0
210,2021-08-09,3.271570544872889,36.520833330064605,Blida,Ain Roumana,1.0,2.0,0.0,0
211,2021-08-09,3.281940023620312,36.520833330064605,Blida,Ain Roumana,1.0,2.0,0.0,0
212,2021-08-09,3.2923095023676927,36.520833330064605,Blida,Ain Roumana,1.0,2.0,0.0,0
213,2021-08-09,3.302678981115115,36.520833330064605,Blida,Ain Roumana,1.0,2.0,0.0,0
214,2021-08-09,3.3130484598624963,36.520833330064605,Blida,Ain Roumana,1.0,2.0,0.0,0
215,2021-08-09,3.3234179386099196,36.520833330064605,Blida,Ain Roumana,1.0,2.0,0.0,0
216,2021-08-09,3.3337874173573003,36.520833330064605,Blida,Ain Roumana,1.0,2.0,0.0,0
217,2021-08-09,3.260849891302438,36.512499996732004,Blida,Ain Roumana,1.0,2.0,0.0,0
218,2021-08-09,3.271218253436709,36.512499996732004,Blida,Ain Roumana,1.0,2.0,0.0,0
219,2021-08-09,3.2815866155710225,36.512499996732004,Blida,Ain Roumana,0.0,2.0,743.0,1
220,2021-08-09,3.2919549777052937,36.512499996732004,Blida,Ain Roumana,0.0,2.0,743.0,1
221,2021-08-09,3.302323339839606,36.512499996732004,Blida,Ain Roumana,1.0,2.0,0.0,0
222,2021-08-09,3.312691701973877,36.512499996732004,Blida,Ain Roumana,1.0,2.0,0.0,0
223,2021-08-09,3.32306006410819,36.512499996732004,Blida,Ain Roumana,1.0,2.0,0.0,0
224,2021-08-09,3.3334284262424614,36.512499996732004,Blida,Ain Roumana,1.0,2.0,0.0,0
225,2021-08-09,3.2604988610672327,36.50416666339942,Blida,Ain Roumana,1.0,2.0,0.0,0
226,2021-08-09,3.270866107048133,36.50416666339942,Blida,Ain Roumana,0.0,2.0,130.0,1
227,2021-08-09,3.281233353029075,36.50416666339942,Blida,Ain Roumana,0.0,2.0,743.0,1
228,2021-08-09,3.2916005990099753,36.50416666339942,Blida,Ain Roumana,0.0,2.0,743.0,1
229,2021-08-09,3.3019678449909167,36.50416666339942,Blida,Ain Roumana,1.0,2.0,0.0,0
230,2021-08-09,3.3123350909718168,36.50416666339942,Blida,Ain Roumana,1.0,2.0,0.0,0
231,2021-08-09,3.322702336952759,36.50416666339942,Blida,Ain Roumana,1.0,2.0,0.0,0
232,2021-08-09,3.3330695829336587,36.50416666339942,Blida,Ain Roumana,1.0,2.0,0.0,0
233,2021-08-09,3.260147975358353,36.49583333006683,Blida,Ain Roumana,1.0,2.0,0.0,0
234,2021-08-09,3.270514105645425,36.49583333006683,Blida,Ain Roumana,0.0,2.0,218.0,1
235,2021-08-09,3.2808802359325395,36.49583333006683,Blida,Ain Roumana,0.0,2.0,218.0,1
236,2021-08-09,3.2912463662196116,36.49583333006683,Blida,Ain Roumana,0.0,2.0,439.0,1
237,2021-08-09,3.3016124965067255,36.49583333006683,Blida,Ain Roumana,1.0,2.0,0.0,0
238,2021-08-09,3.3119786267937976,36.49583333006683,Blida,Ain Roumana,1.0,2.0,0.0,0
