,DayOfYear,DetailedQA,EVI,NDVI,RelativeAzimuth,SolarZenith,SummaryQA,ViewZenith,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07
4233,234.0,2116.0,2058.0,3639.0,-3433.0,2994.0,0.0,286.0,1081.0,2311.0,514.0,1571.0
4234,234.0,2116.0,2126.0,3720.0,-3375.0,2994.0,0.0,282.0,1080.0,2352.0,513.0,1565.0
4235,234.0,2116.0,2317.0,4192.0,-3349.0,2993.0,0.0,273.0,938.0,2273.0,463.0,1366.0
4236,234.0,2116.0,2005.0,3817.0,-3272.0,2993.0,0.0,264.0,914.0,2050.0,450.0,1413.0
4237,234.0,2116.0,1371.0,2686.0,1051.0,2917.0,0.0,432.0,1040.0,1816.0,526.0,1798.0
4238,225.0,2185.0,914.0,1990.0,871.0,2870.0,1.0,1015.0,1026.0,1538.0,498.0,2082.0
4239,227.0,2185.0,794.0,1956.0,872.0,2869.0,1.0,1020.0,896.0,1334.0,395.0,2169.0
4240,227.0,2185.0,802.0,1893.0,9438.0,2741.0,1.0,1090.0,977.0,1434.0,412.0,2156.0
4241,225.0,2185.0,1014.0,2180.0,9425.0,2740.0,1.0,1090.0,1042.0,1630.0,466.0,2170.0
4242,225.0,2185.0,1097.0,2605.0,5428.0,2839.0,1.0,606.0,862.0,1470.0,374.0,1705.0
4243,225.0,2185.0,1531.0,2863.0,13746.0,2687.0,1.0,1002.0,1181.0,2142.0,484.0,2019.0
4244,234.0,2116.0,2107.0,3908.0,-2648.0,2988.0,0.0,200.0,951.0,2167.0,459.0,1429.0
4245,234.0,2116.0,2132.0,3880.0,-2595.0,2988.0,0.0,194.0,979.0,2216.0,477.0,1551.0
4246,234.0,2116.0,2345.0,4204.0,-2408.0,2988.0,0.0,189.0,932.0,2281.0,465.0,1364.0
4247,234.0,2116.0,2295.0,4042.0,-3566.0,2994.0,0.0,285.0,1005.0,2356.0,486.0,1490.0
4248,234.0,2116.0,2174.0,4026.0,-3546.0,2993.0,0.0,276.0,935.0,2186.0,453.0,1296.0
4249,234.0,2116.0,2151.0,3749.0,-3531.0,2993.0,0.0,269.0,1078.0,2366.0,514.0,1554.0
4250,234.0,2116.0,2157.0,4014.0,-3417.0,2993.0,0.0,264.0,916.0,2149.0,451.0,1334.0
4251,234.0,2116.0,1127.0,2398.0,5224.0,2841.0,0.0,607.0,985.0,1609.0,495.0,1913.0
4252,225.0,2185.0,920.0,2221.0,13851.0,2688.0,1.0,963.0,873.0,1370.0,419.0,1806.0
4253,234.0,2185.0,833.0,2070.0,802.0,2868.0,1.0,1015.0,884.0,1351.0,364.0,2081.0
4254,225.0,2185.0,757.0,1822.0,5087.0,2793.0,1.0,1198.0,929.0,1345.0,429.0,2308.0
4255,225.0,2185.0,898.0,2330.0,5110.0,2792.0,1.0,1198.0,801.0,1288.0,339.0,1807.0
4256,227.0,2185.0,1053.0,2363.0,5251.0,2814.0,1.0,905.0,981.0,1592.0,405.0,1929.0
4257,225.0,2185.0,1027.0,2473.0,13800.0,2686.0,1.0,1005.0,866.0,1438.0,368.0,1917.0
4258,234.0,2116.0,1480.0,2737.0,-2899.0,2988.0,0.0,198.0,1159.0,2035.0,561.0,1938.0
4259,234.0,2116.0,1719.0,3331.0,-2773.0,2987.0,0.0,190.0,983.0,1968.0,477.0,1690.0
4260,234.0,2116.0,2015.0,4156.0,5632.0,2836.0,0.0,607.0,808.0,1944.0,366.0,1301.0
4261,234.0,2116.0,2148.0,4024.0,-3746.0,2993.0,0.0,284.0,934.0,2168.0,447.0,1292.0
4262,234.0,2116.0,2248.0,4098.0,-3732.0,2993.0,0.0,275.0,945.0,2252.0,451.0,1407.0
4263,234.0,2116.0,2028.0,3903.0,-3669.0,2992.0,0.0,266.0,893.0,2035.0,440.0,1288.0
4264,234.0,2116.0,1556.0,3300.0,9525.0,2765.0,0.0,778.0,831.0,1673.0,423.0,1535.0
4265,225.0,2185.0,942.0,2222.0,13907.0,2689.0,1.0,954.0,887.0,1394.0,435.0,1972.0
4266,225.0,2185.0,972.0,2384.0,13893.0,2688.0,1.0,963.0,837.0,1363.0,384.0,1780.0
4267,227.0,2185.0,1388.0,2930.0,9375.0,2766.0,1.0,1369.0,967.0,1766.0,423.0,1736.0
4268,234.0,2185.0,1167.0,2465.0,5219.0,2815.0,1.0,902.0,1055.0,1748.0,444.0,1946.0
4269,227.0,2185.0,971.0,2369.0,9497.0,2739.0,1.0,1096.0,872.0,1412.0,366.0,1831.0
4270,225.0,2185.0,937.0,2180.0,13852.0,2686.0,1.0,995.0,953.0,1485.0,406.0,2118.0
4271,225.0,2185.0,1237.0,2738.0,13852.0,2686.0,1.0,1004.0,933.0,1650.0,383.0,1742.0
4272,234.0,2116.0,1232.0,2488.0,-3155.0,2987.0,0.0,196.0,1032.0,1730.0,511.0,1894.0
4273,234.0,2116.0,936.0,2050.0,5507.0,2836.0,0.0,605.0,1015.0,1542.0,482.0,2127.0
4274,234.0,2185.0,1143.0,2616.0,1316.0,2911.0,1.0,392.0,904.0,1529.0,421.0,1686.0
4275,234.0,2116.0,2230.0,4288.0,583.0,2917.0,0.0,445.0,849.0,2108.0,410.0,1245.0
4276,234.0,2116.0,2138.0,4020.0,-3919.0,2992.0,0.0,275.0,921.0,2141.0,448.0,1300.0
4277,234.0,2116.0,1777.0,3292.0,-3813.0,2991.0,0.0,266.0,1063.0,2102.0,513.0,1637.0
4278,234.0,2116.0,1096.0,2340.0,-3801.0,2991.0,0.0,257.0,999.0,1609.0,494.0,2137.0
4279,225.0,2185.0,829.0,1969.0,9525.0,2763.0,1.0,780.0,901.0,1344.0,454.0,2217.0
4280,225.0,2185.0,828.0,1948.0,13934.0,2688.0,1.0,963.0,927.0,1376.0,453.0,2150.0
4281,225.0,2185.0,915.0,2093.0,13934.0,2687.0,1.0,972.0,967.0,1479.0,441.0,2230.0
4282,225.0,2185.0,929.0,2160.0,13920.0,2686.0,1.0,981.0,937.0,1454.0,423.0,2113.0
4283,225.0,2185.0,820.0,1988.0,13905.0,2686.0,1.0,990.0,914.0,1369.0,400.0,2221.0
4284,225.0,2185.0,892.0,2108.0,9567.0,2761.0,1.0,798.0,915.0,1407.0,421.0,2067.0
4285,225.0,2185.0,1241.0,2707.0,9576.0,2760.0,1.0,800.0,933.0,1631.0,426.0,1749.0
4286,234.0,2116.0,1442.0,2789.0,-3349.0,2987.0,0.0,195.0,1065.0,1898.0,520.0,1829.0
4287,225.0,2185.0,762.0,1884.0,9558.0,2759.0,1.0,814.0,885.0,1296.0,420.0,2122.0
4288,225.0,2185.0,773.0,1861.0,9556.0,2759.0,1.0,819.0,943.0,1374.0,415.0,2309.0
4289,225.0,2185.0,2224.0,4179.0,9480.0,2765.0,1.0,764.0,902.0,2189.0,412.0,1341.0
4290,234.0,2116.0,2301.0,4122.0,-4059.0,2991.0,0.0,274.0,964.0,2299.0,470.0,1399.0
4291,234.0,2116.0,1634.0,2970.0,-4007.0,2991.0,0.0,265.0,1129.0,2098.0,551.0,1845.0
4292,225.0,2185.0,1177.0,2537.0,14019.0,2688.0,1.0,950.0,966.0,1624.0,475.0,1660.0
4293,225.0,2185.0,785.0,1977.0,9515.0,2763.0,1.0,780.0,838.0,1253.0,421.0,1866.0
4294,225.0,2185.0,786.0,2055.0,13989.0,2687.0,1.0,965.0,798.0,1212.0,382.0,1921.0
4295,225.0,2185.0,1004.0,2330.0,9490.0,2762.0,1.0,786.0,910.0,1462.0,425.0,1896.0
4296,225.0,2185.0,1022.0,2346.0,9476.0,2762.0,1.0,793.0,925.0,1490.0,432.0,2099.0
4297,225.0,2185.0,874.0,2205.0,13960.0,2685.0,1.0,990.0,830.0,1301.0,383.0,1937.0
4298,225.0,2185.0,1150.0,2807.0,13959.0,2684.0,1.0,999.0,795.0,1415.0,363.0,1647.0
